Code 2021,NUTS level 2
DE11,Stuttgart
DE12,Karlsruhe
DE13,Freiburg
DE14,Tübingen
DE21,Oberbayern
DE22,Niederbayern
DE23,Oberpfalz
DE24,Oberfranken
DE25,Mittelfranken
DE26,Unterfranken
DE27,Schwaben
DE30,Berlin
DE40,Brandenburg
DE50,Bremen
DE60,Hamburg
DE71,Darmstadt
DE72,Gießen
DE73,Kassel
DE80,Mecklenburg-Vorpommern
DE91,Braunschweig
DE92,Hannover
DE93,Lüneburg
DE94,Weser-Ems
DEA1,Düsseldorf
DEA2,Köln
DEA3,Münster
DEA4,Detmold
DEA5,Arnsberg
DEB1,Koblenz
DEB2,Trier
DEB3,Rheinhessen-Pfalz
DEC0,Saarland
DED2,Dresden
DED4,Chemnitz
DED5,Leipzig
DEE0,Sachsen-Anhalt
DEF0,Schleswig-Holstein
DEG0,Thüringen
DEZZ,Extra-Regio NUTS 2
